,method1,method2,metric,value,dataName
9,infomap,multilevel,adjusted_rand,0.72774926107251,Bsubtilis
10,infomap,multilevel,vi,0.842612797232666,Bsubtilis
11,infomap,multilevel,nmi,0.7900711231024397,Bsubtilis
12,infomap,multilevel,split-join,115.0,Bsubtilis
13,infomap,multilevel,rand,0.9308932059908834,Bsubtilis
14,infomap,multilevel,adjusted_rand,0.6630323757531391,Bsubtilis
15,infomap,multilevel,vi,0.9726963110559468,Bsubtilis
16,infomap,multilevel,nmi,0.8043071703679043,Bsubtilis
17,infomap,multilevel,split-join,106.0,Bsubtilis
18,infomap,multilevel,rand,0.92535815064033,Bsubtilis
19,infomap,multilevel,adjusted_rand,0.7334189920137616,Bsubtilis
20,infomap,multilevel,vi,1.0966221680992776,Bsubtilis
21,infomap,multilevel,nmi,0.7435395555709527,Bsubtilis
22,infomap,multilevel,split-join,114.0,Bsubtilis
23,infomap,multilevel,rand,0.9302420230084654,Bsubtilis
24,infomap,multilevel,adjusted_rand,0.6273186569785765,Bsubtilis
25,infomap,multilevel,vi,1.1158867282577623,Bsubtilis
26,infomap,multilevel,nmi,0.8138850380161409,Bsubtilis
27,infomap,multilevel,split-join,126.0,Bsubtilis
28,infomap,multilevel,rand,0.9415563273279792,Bsubtilis
29,infomap,multilevel,adjusted_rand,0.6390545167299114,Bsubtilis
30,infomap,multilevel,vi,0.968245137340368,Bsubtilis
31,infomap,multilevel,nmi,0.8050444042882626,Bsubtilis
32,infomap,multilevel,split-join,107.0,Bsubtilis
33,infomap,multilevel,rand,0.942451703928804,Bsubtilis
34,infomap,multilevel,adjusted_rand,0.6732208831784128,Bsubtilis
35,infomap,multilevel,vi,1.0880954147056596,Bsubtilis
36,infomap,multilevel,nmi,0.7581938465692181,Bsubtilis
37,infomap,multilevel,split-join,112.0,Bsubtilis
38,infomap,multilevel,rand,0.9292109832863036,Bsubtilis
39,infomap,multilevel,adjusted_rand,0.660695550205394,Bsubtilis
40,infomap,multilevel,vi,1.1762949947566312,Bsubtilis
41,infomap,multilevel,nmi,0.801362972399027,Bsubtilis
42,infomap,multilevel,split-join,120.0,Bsubtilis
43,infomap,multilevel,rand,0.9346375081397873,Bsubtilis
44,infomap,multilevel,adjusted_rand,0.7066116613601684,Bsubtilis
45,infomap,multilevel,vi,1.0146860583371597,Bsubtilis
46,infomap,multilevel,nmi,0.7891691827875376,Bsubtilis
47,infomap,multilevel,split-join,108.0,Bsubtilis
48,infomap,multilevel,rand,0.900694595181246,Bsubtilis
49,infomap,multilevel,adjusted_rand,0.6993971969253852,Bsubtilis
50,infomap,multilevel,vi,0.9293932060307042,Bsubtilis
51,infomap,multilevel,nmi,0.7922990545313799,Bsubtilis
52,infomap,multilevel,split-join,113.0,Bsubtilis
53,infomap,multilevel,rand,0.9102452789233775,Bsubtilis
54,infomap,multilevel,adjusted_rand,0.7358823575646605,Bsubtilis
55,infomap,multilevel,vi,0.9441166453557281,Bsubtilis
56,infomap,multilevel,nmi,0.8241273671078965,Bsubtilis
57,infomap,multilevel,split-join,110.0,Bsubtilis
58,infomap,multilevel,rand,0.939928369871934,Bsubtilis
59,infomap,multilevel,adjusted_rand,0.6907146975674268,Bsubtilis
60,infomap,multilevel,vi,1.1176946288660283,Bsubtilis
