,method1,method2,metric,value,dataName
29,infomap,multilevel,adjusted_rand,0.6699349531279896,Iceland
31,infomap,multilevel,nmi,0.8052276482137354,Iceland
32,infomap,multilevel,split-join,12.0,Iceland
33,infomap,multilevel,rand,0.9773857982813207,Iceland
35,infomap,multilevel,vi,0.8564778892364502,Iceland
38,infomap,multilevel,rand,0.9592944369063774,Iceland
40,infomap,multilevel,vi,0.6909502043266125,Iceland
44,infomap,multilevel,adjusted_rand,0.8723825693265428,Iceland
48,infomap,multilevel,rand,0.8530076888285844,Iceland
51,infomap,multilevel,nmi,0.9246203026591252,Iceland
52,infomap,multilevel,split-join,31.0,Iceland
53,infomap,multilevel,rand,0.8778833107191317,Iceland
55,infomap,multilevel,vi,0.17420485866211344,Iceland
56,infomap,multilevel,nmi,0.919006821925958,Iceland
58,infomap,multilevel,rand,0.983717774762551,Iceland
61,infomap,multilevel,nmi,0.8041294420896739,Iceland
63,infomap,multilevel,rand,0.869742198100407,Iceland
66,infomap,multilevel,nmi,0.770860481865825,Iceland
68,infomap,multilevel,rand,0.885119855269109,Iceland
70,infomap,multilevel,vi,0.2845862090051021,Iceland
71,infomap,multilevel,nmi,0.8962265366727609,Iceland
72,infomap,multilevel,split-join,22.0,Iceland
73,infomap,multilevel,rand,0.9601990049751243,Iceland
74,infomap,multilevel,adjusted_rand,0.8581892349530514,Iceland
81,infomap,multilevel,nmi,0.9081985054157712,Iceland
82,infomap,multilevel,split-join,14.0,Iceland
85,infomap,multilevel,vi,0.8432972202246782,Iceland
86,infomap,multilevel,nmi,0.737519299764799,Iceland
87,infomap,multilevel,split-join,27.0,Iceland
88,infomap,multilevel,rand,0.8950701040253278,Iceland
94,infomap,multilevel,adjusted_rand,0.921703360912448,Iceland
98,infomap,multilevel,rand,0.9063772048846677,Iceland
100,infomap,multilevel,vi,0.9670102513369399,Iceland
103,infomap,multilevel,rand,0.8815015829941204,Iceland
104,infomap,multilevel,adjusted_rand,0.6314807729098915,Iceland
110,infomap,multilevel,vi,0.3722932020536107,Iceland
118,infomap,multilevel,rand,0.9520578923563998,Iceland
121,infomap,multilevel,nmi,0.9348309466071122,Iceland
125,infomap,multilevel,vi,0.8850836499111927,Iceland
126,infomap,multilevel,nmi,0.77672396749662,Iceland
138,infomap,multilevel,rand,0.9629127091813661,Iceland
139,infomap,multilevel,adjusted_rand,0.9438578375152885,Iceland
143,infomap,multilevel,rand,0.9656264133876072,Iceland
145,infomap,multilevel,vi,0.7410092993063482,Iceland
146,infomap,multilevel,nmi,0.7467501391868121,Iceland
150,infomap,multilevel,vi,0.346993783407489,Iceland
161,infomap,multilevel,nmi,0.886956219992561,Iceland
175,infomap,multilevel,vi,0.3153350336959351,Iceland
178,infomap,multilevel,rand,0.9511533242876526,Iceland
179,infomap,multilevel,adjusted_rand,0.6098291358184349,Iceland
181,infomap,multilevel,nmi,0.7792208448649833,Iceland
182,infomap,multilevel,split-join,8.0,Iceland
184,infomap,multilevel,adjusted_rand,0.6083225675436285,Iceland
189,infomap,multilevel,adjusted_rand,0.9194020559584094,Iceland
193,infomap,multilevel,rand,0.9728629579375848,Iceland
0,infomap,multilevel,vi,0.46411494245917106,Zebra
1,infomap,multilevel,nmi,0.7457356098144086,Zebra
2,infomap,multilevel,split-join,4.0,Zebra
3,infomap,multilevel,rand,0.9051383399209485,Zebra
4,infomap,multilevel,adjusted_rand,0.808054624770816,Zebra
0,infomap,multilevel,vi,0.5058339069782196,Dolphins
1,infomap,multilevel,nmi,0.9090402368868528,Dolphins
2,infomap,multilevel,split-join,21.0,Dolphins
3,infomap,multilevel,rand,0.9513484928609203,Dolphins
4,infomap,multilevel,adjusted_rand,0.8586781291550226,Dolphins
5,infomap,multilevel,vi,0.26733100170961466,Dolphins
6,infomap,multilevel,nmi,0.8818064122723202,Dolphins
7,infomap,multilevel,split-join,9.0,Dolphins
8,infomap,multilevel,rand,0.9217345319936542,Dolphins
9,infomap,multilevel,adjusted_rand,0.9108592567143788,Dolphins
10,infomap,multilevel,vi,0.7919396814214883,Dolphins
11,infomap,multilevel,nmi,0.8396902740389085,Dolphins
12,infomap,multilevel,split-join,14.0,Dolphins
13,infomap,multilevel,rand,0.9497620306716023,Dolphins
14,infomap,multilevel,adjusted_rand,0.8063471548332878,Dolphins
15,infomap,multilevel,vi,0.4084693994266817,Dolphins
16,infomap,multilevel,nmi,0.9407445084602436,Dolphins
17,infomap,multilevel,split-join,12.0,Dolphins
18,infomap,multilevel,rand,0.9687995769434162,Dolphins
19,infomap,multilevel,adjusted_rand,0.7997782907855923,Dolphins
20,infomap,multilevel,vi,0.4454976713337029,Dolphins
21,infomap,multilevel,nmi,0.8727279607657477,Dolphins
22,infomap,multilevel,split-join,4.0,Dolphins
23,infomap,multilevel,rand,0.9566367001586463,Dolphins
25,infomap,multilevel,vi,0.3686048359866243,Dolphins
27,infomap,multilevel,split-join,8.0,Dolphins
29,infomap,multilevel,adjusted_rand,0.650320244187694,Dolphins
31,infomap,multilevel,nmi,0.8797580731124671,Dolphins
32,infomap,multilevel,split-join,6.0,Dolphins
35,infomap,multilevel,vi,0.7825934125275835,Dolphins
36,infomap,multilevel,nmi,0.8694046495809888,Dolphins
39,infomap,multilevel,adjusted_rand,0.9308912020669243,Dolphins
40,infomap,multilevel,vi,0.40470550706841824,Dolphins
41,infomap,multilevel,nmi,0.9503495750078393,Dolphins
42,infomap,multilevel,split-join,10.0,Dolphins
43,infomap,multilevel,rand,0.8826017979904813,Dolphins
44,infomap,multilevel,adjusted_rand,0.8083604454897134,Dolphins
45,infomap,multilevel,vi,0.337158940615244,Dolphins
47,infomap,multilevel,split-join,16.0,Dolphins
50,infomap,multilevel,vi,0.35992498025873054,Dolphins
51,infomap,multilevel,nmi,0.8535395342000681,Dolphins
52,infomap,multilevel,split-join,19.0,Dolphins
53,infomap,multilevel,rand,0.9518773135906929,Dolphins
54,infomap,multilevel,adjusted_rand,0.8749987907945611,Dolphins
57,infomap,multilevel,split-join,11.0,Dolphins
60,infomap,multilevel,vi,0.5714255732510991,Dolphins
61,infomap,multilevel,nmi,0.8929097575629296,Dolphins
63,infomap,multilevel,rand,0.9830777366472765,Dolphins
64,infomap,multilevel,adjusted_rand,0.8457457176394014,Dolphins
