,method1,method2,metric,value,dataName
100,infomap,multilevel,vi,1.6080161430540947,Copperfield
101,infomap,multilevel,nmi,0.09138754331564257,Copperfield
103,infomap,multilevel,rand,0.25160875160875157,Copperfield
104,infomap,multilevel,adjusted_rand,0.0014743562865261201,Copperfield
105,infomap,multilevel,vi,1.7043812784703758,Copperfield
106,infomap,multilevel,nmi,0.05628177432741533,Copperfield
108,infomap,multilevel,rand,0.2160553410553409,Copperfield
109,infomap,multilevel,adjusted_rand,0.00041067080539502587,Copperfield
110,infomap,multilevel,vi,1.6985582778220976,Copperfield
111,infomap,multilevel,nmi,0.07375891547622959,Copperfield
113,infomap,multilevel,rand,0.20801158301158293,Copperfield
114,infomap,multilevel,adjusted_rand,0.0056097300500730805,Copperfield
115,infomap,multilevel,vi,1.895142367014075,Copperfield
116,infomap,multilevel,nmi,0.06779145632033906,Copperfield
119,infomap,multilevel,adjusted_rand,0.00482036423145143,Copperfield
120,infomap,multilevel,vi,2.013964868857429,Copperfield
121,infomap,multilevel,nmi,0.07546042696354621,Copperfield
122,infomap,multilevel,split-join,88.0,Copperfield
123,infomap,multilevel,rand,0.20704633204633213,Copperfield
124,infomap,multilevel,adjusted_rand,0.004725631869530647,Copperfield
125,infomap,multilevel,vi,1.9452131390098844,Copperfield
126,infomap,multilevel,nmi,0.054286264983213504,Copperfield
128,infomap,multilevel,rand,0.16940154440154445,Copperfield
129,infomap,multilevel,adjusted_rand,0.005669604668894634,Copperfield
130,infomap,multilevel,vi,1.764262732515858,Copperfield
131,infomap,multilevel,nmi,0.07450130530174727,Copperfield
133,infomap,multilevel,rand,0.1944980694980694,Copperfield
134,infomap,multilevel,adjusted_rand,0.010173910181487692,Copperfield
0,infomap,multilevel,vi,1.070573163371796,Bsubtilis
1,infomap,multilevel,nmi,0.788038340692381,Bsubtilis
2,infomap,multilevel,split-join,111.0,Bsubtilis
3,infomap,multilevel,rand,0.9314901237247666,Bsubtilis
4,infomap,multilevel,adjusted_rand,0.7188513944273296,Bsubtilis
5,infomap,multilevel,vi,0.9572805109892659,Bsubtilis
6,infomap,multilevel,nmi,0.8253978470023363,Bsubtilis
7,infomap,multilevel,split-join,117.0,Bsubtilis
8,infomap,multilevel,rand,0.937079444323855,Bsubtilis
9,infomap,multilevel,adjusted_rand,0.6865333903097756,Bsubtilis
10,infomap,multilevel,vi,0.7758085499582039,Bsubtilis
11,infomap,multilevel,nmi,0.7886000645663257,Bsubtilis
12,infomap,multilevel,split-join,112.0,Bsubtilis
13,infomap,multilevel,rand,0.9255209463859346,Bsubtilis
14,infomap,multilevel,adjusted_rand,0.7073271232673966,Bsubtilis
15,infomap,multilevel,vi,1.1127200750427848,Bsubtilis
16,infomap,multilevel,nmi,0.7690323221333074,Bsubtilis
17,infomap,multilevel,split-join,110.0,Bsubtilis
18,infomap,multilevel,rand,0.9308932059908834,Bsubtilis
19,infomap,multilevel,adjusted_rand,0.690847613922641,Bsubtilis
20,infomap,multilevel,vi,0.9789196116191832,Bsubtilis
21,infomap,multilevel,nmi,0.7785212278596391,Bsubtilis
22,infomap,multilevel,split-join,128.0,Bsubtilis
23,infomap,multilevel,rand,0.9282070761884089,Bsubtilis
24,infomap,multilevel,adjusted_rand,0.7077378151234299,Bsubtilis
25,infomap,multilevel,vi,0.9479689035870775,Bsubtilis
26,infomap,multilevel,nmi,0.8220411255247879,Bsubtilis
28,infomap,multilevel,rand,0.931517256349034,Bsubtilis
29,infomap,multilevel,adjusted_rand,0.7525558945174192,Bsubtilis
30,infomap,multilevel,vi,1.0531765329121638,Bsubtilis
31,infomap,multilevel,nmi,0.8000496558802105,Bsubtilis
32,infomap,multilevel,split-join,115.0,Bsubtilis
33,infomap,multilevel,rand,0.9314901237247667,Bsubtilis
34,infomap,multilevel,adjusted_rand,0.7198805600156255,Bsubtilis
35,infomap,multilevel,vi,1.16962906573977,Bsubtilis
36,infomap,multilevel,nmi,0.8120041831560371,Bsubtilis
38,infomap,multilevel,rand,0.9221565009767744,Bsubtilis
39,infomap,multilevel,adjusted_rand,0.6082194649314645,Bsubtilis
40,infomap,multilevel,vi,1.0191591561960802,Bsubtilis
41,infomap,multilevel,nmi,0.7879197859059918,Bsubtilis
43,infomap,multilevel,rand,0.9253852832645973,Bsubtilis
44,infomap,multilevel,adjusted_rand,0.7130578268619104,Bsubtilis
45,infomap,multilevel,vi,0.8970889567307232,Bsubtilis
46,infomap,multilevel,nmi,0.8047390167792225,Bsubtilis
47,infomap,multilevel,split-join,108.0,Bsubtilis
48,infomap,multilevel,rand,0.9390058606468419,Bsubtilis
49,infomap,multilevel,adjusted_rand,0.7396016738024628,Bsubtilis
50,infomap,multilevel,vi,1.031044532004422,Bsubtilis
51,infomap,multilevel,nmi,0.7798157962217924,Bsubtilis
52,infomap,multilevel,split-join,126.0,Bsubtilis
53,infomap,multilevel,rand,0.9254124158888646,Bsubtilis
54,infomap,multilevel,adjusted_rand,0.5314860089288431,Bsubtilis
55,infomap,multilevel,vi,0.9845414361040814,Bsubtilis
56,infomap,multilevel,nmi,0.793144263903516,Bsubtilis
58,infomap,multilevel,rand,0.9298621662687216,Bsubtilis
59,infomap,multilevel,adjusted_rand,0.6840298335412333,Bsubtilis
60,infomap,multilevel,vi,1.0181811604458981,Bsubtilis
61,infomap,multilevel,nmi,0.7805052268474676,Bsubtilis
62,infomap,multilevel,split-join,100.0,Bsubtilis
63,infomap,multilevel,rand,0.9110321250271326,Bsubtilis
64,infomap,multilevel,adjusted_rand,0.7369347310469678,Bsubtilis
65,infomap,multilevel,vi,1.095194677640225,Bsubtilis
66,infomap,multilevel,nmi,0.7862790685755388,Bsubtilis
